TransactionID,Amount,Time,Location,Merchant,Device,Fraud
1,12.5,08:30,New York,CoffeeShop,Mobile,0
2,5000,02:15,Los Angeles,ElectronicsStore,Laptop,1
3,15.0,13:20,New York,CoffeeShop,Mobile,0
4,200,22:45,Chicago,Supermarket,Web,0
5,4500,03:10,Los Angeles,LuxuryWatchStore,Mobile,1
6,45,14:05,Chicago,FastFood,Web,0
7,100,09:50,New York,ClothingStore,Mobile,0
8,7000,01:30,Los Angeles,ElectronicsStore,Mobile,1
9,60,12:00,Chicago,CoffeeShop,Web,0
10,2500,04:45,New York,LaptopStore,Web,1
11,20,10:30,Boston,BookStore,Mobile,0
12,6000,02:50,Miami,JewelryStore,Web,1
13,35,11:15,Boston,Cafe,Mobile,0
14,180,20:30,Miami,Supermarket,Web,0
15,4000,03:25,Los Angeles,LuxuryBagStore,Mobile,1
16,50,15:45,Chicago,FastFood,Mobile,0
17,150,09:05,New York,Pharmacy,Web,0
18,3000,01:50,Miami,ElectronicsStore,Mobile,1
19,25,13:40,Boston,CoffeeShop,Mobile,0
20,10000,02:10,Los Angeles,JewelryStore,Laptop,1
