Gender,Married,ApplicantIncome,LoanAmount,Credit_History,Loan_Status
Male,Yes,5000,200,1,Y
Female,No,3000,100,1,Y
Male,Yes,4000,150,0,N
Male,No,2500,120,1,Y
Female,Yes,6000,250,1,Y
Male,Yes,3500,180,0,N
Female,No,7000,220,1,Y
Male,No,4500,180,1,Y
Female,Yes,3200,100,0,N
Male,Yes,8000,300,1,Y
Female,No,2800,90,1,Y
Male,Yes,6000,250,1,Y
Female,Yes,5500,200,0,N
Male,No,4000,150,1,Y
Female,Yes,3000,120,0,N
Male,Yes,7500,280,1,Y
Female,No,5000,200,1,Y
Male,No,3500,160,0,N
Female,Yes,6200,230,1,Y
Male,Yes,4800,190,1,Y
Female,No,2700,110,0,N
Male,Yes,5200,200,1,Y
Female,Yes,6000,250,1,Y
Male,No,3300,150,0,N
Female,Yes,7000,270,1,Y
Male,Yes,4100,180,1,Y
Female,No,2900,120,0,N
Male,Yes,6800,260,1,Y
Female,Yes,5400,210,1,Y
Male,No,3600,160,0,N
Female,Yes,7500,300,1,Y
Male,Yes,4700,190,1,Y
Female,No,2800,110,0,N
Male,Yes,6000,220,1,Y
Female,Yes,5000,200,1,Y
Male,No,3500,150,0,N
Female,Yes,7200,250,1,Y
Male,Yes,4300,180,1,Y
Female,No,3000,120,0,N
Male,Yes,6500,240,1,Y
Female,Yes,5200,210,1,Y
Male,No,3400,160,0,N
Female,Yes,7800,280,1,Y
Male,Yes,4600,190,1,Y
Female,No,2900,110,0,N
Male,Yes,6100,220,1,Y
Female,Yes,5300,200,1,Y
Male,No,3300,150,0,N
Female,Yes,7000,250,1,Y
Male,Yes,4400,180,1,Y
Female,No,3100,120,0,N
Male,Yes,6700,260,1,Y
Female,Yes,5100,210,1,Y
Male,No,3600,160,0,N
Female,Yes,7600,300,1,Y
Male,Yes,4700,190,1,Y
Female,No,2800,110,0,N
Male,Yes,6200,220,1,Y
Female,Yes,5400,200,1,Y
Male,No,3500,150,0,N
Female,Yes,7400,250,1,Y
Male,Yes,4300,180,1,Y
Female,No,3000,120,0,N
Male,Yes,6600,260,1,Y
Female,Yes,5200,210,1,Y
Male,No,3400,160,0,N
Female,Yes,7800,280,1,Y
Male,Yes,4600,190,1,Y
Female,No,2900,110,0,N
Male,Yes,6100,220,1,Y
Female,Yes,5300,200,1,Y
Male,No,3300,150,0,N
Female,Yes,7100,250,1,Y
Male,Yes,4400,180,1,Y
Female,No,3100,120,0,N
Male,Yes,6700,260,1,Y
Female,Yes,5100,210,1,Y
Male,No,3600,160,0,N
Female,Yes,7600,300,1,Y
Male,Yes,4700,190,1,Y
Female,No,2800,110,0,N
Male,Yes,6200,220,1,Y
Female,Yes,5400,200,1,Y
Male,No,3500,150,0,N
Female,Yes,7400,250,1,Y
Male,Yes,4300,180,1,Y
Female,No,3000,120,0,N
Male,Yes,6600,260,1,Y
Female,Yes,5200,210,1,Y
Male,No,3400,160,0,N
Female,Yes,7800,280,1,Y
Male,Yes,4600,190,1,Y
Female,No,2900,110,0,N
Male,Yes,6100,220,1,Y
Female,Yes,5300,200,1,Y
Male,No,3300,150,0,N
Female,Yes,7000,250,1,Y
Male,Yes,4400,180,1,Y
Female,No,3100,120,0,N
Male,Yes,6700,260,1,Y
Female,Yes,5100,210,1,Y
Male,No,3600,160,0,N
Female,Yes,7600,300,1,Y
Male,Yes,4700,190,1,Y
Female,No,2800,110,0,N
Male,Yes,6200,220,1,Y
Female,Yes,5400,200,1,Y
Male,No,3500,150,0,N
Female,Yes,7400,250,1,Y
Male,Yes,4300,180,1,Y
Female,No,3000,120,0,N
Male,Yes,6600,260,1,Y
Female,Yes,5200,210,1,Y
Male,No,3400,160,0,N
Female,Yes,7800,280,1,Y
Male,Yes,4600,190,1,Y
Female,No,2900,110,0,N
Male,Yes,6100,220,1,Y
Female,Yes,5300,200,1,Y
Male,No,3300,150,0,N
Female,Yes,7100,250,1,Y
Male,Yes,4400,180,1,Y
Female,No,3100,120,0,N
Male,Yes,6700,260,1,Y
Female,Yes,5100,210,1,Y
Male,No,3600,160,0,N
Female,Yes,7600,300,1,Y
Male,Yes,4700,190,1,Y
Female,No,2800,110,0,N
Male,Yes,6200,220,1,Y
Female,Yes,5400,200,1,Y
Male,No,3500,150,0,N
Female,Yes,7400,250,1,Y
Male,Yes,4300,180,1,Y
Female,No,3000,120,0,N
Male,Yes,6600,260,1,Y
Female,Yes,5200,210,1,Y
Male,No,3400,160,0,N
Female,Yes,7800,280,1,Y
Male,Yes,4600,190,1,Y
Female,No,2900,110,0,N
Male,Yes,6100,220,1,Y
Female,Yes,5300,200,1,Y
Male,No,3300,150,0,N
Female,Yes,7000,250,1,Y
Male,Yes,4400,180,1,Y
Female,No,3100,120,0,N
Male,Yes,6700,260,1,Y
Female,Yes,5100,210,1,Y
