MachineID,Temperature,Vibration,Pressure,RuntimeHours,Failure
1,81.2,0.065,32,120,0
2,74.5,0.048,28,210,0
3,88.3,0.078,36,340,1
4,69.7,0.034,29,90,0
5,77.8,0.051,31,150,0
6,91.4,0.083,39,400,1
7,72.1,0.042,27,110,0
8,85.7,0.072,35,280,1
9,76.4,0.049,30,160,0
10,79.9,0.061,33,200,0
11,82.5,0.066,34,230,1
12,70.2,0.037,28,100,0
13,89.1,0.080,38,360,1
14,73.6,0.045,29,130,0
15,78.2,0.054,32,170,0
16,90.7,0.085,40,390,1
17,71.5,0.040,27,120,0
18,84.3,0.070,35,250,1
19,75.9,0.050,31,150,0
20,80.8,0.063,33,210,0
21,83.1,0.067,34,240,1
22,68.9,0.033,28,90,0
23,87.6,0.077,37,330,1
24,74.2,0.046,29,140,0
25,79.5,0.060,32,180,0
26,92.0,0.088,41,420,1
27,72.8,0.043,28,110,0
28,85.0,0.071,36,270,1
29,76.7,0.051,31,160,0
30,81.5,0.065,33,220,0
31,82.9,0.068,34,230,1
32,70.0,0.036,28,100,0
33,88.7,0.081,39,370,1
34,73.1,0.044,29,130,0
35,78.8,0.055,32,180,0
36,91.1,0.084,40,400,1
37,71.2,0.041,27,110,0
38,83.9,0.069,35,260,1
39,75.4,0.050,31,150,0
40,80.3,0.062,33,210,0
41,82.0,0.067,34,240,1
42,69.5,0.035,28,95,0
43,87.0,0.076,37,340,1
44,74.8,0.047,29,145,0
45,79.0,0.059,32,175,0
46,92.3,0.089,41,430,1
47,72.5,0.042,28,115,0
48,85.5,0.073,36,280,1
49,76.0,0.050,31,160,0
50,81.0,0.064,33,220,0
51,83.3,0.068,34,240,1
52,70.5,0.037,28,105,0
53,89.0,0.081,38,360,1
54,73.8,0.045,29,135,0
55,78.5,0.055,32,185,0
56,90.5,0.084,40,400,1
57,71.0,0.041,27,115,0
58,84.0,0.070,35,260,1
59,75.7,0.050,31,155,0
60,80.5,0.063,33,210,0
61,82.8,0.067,34,240,1
62,69.2,0.034,28,95,0
63,87.5,0.077,37,335,1
64,74.0,0.046,29,140,0
65,79.3,0.060,32,180,0
66,91.8,0.088,41,420,1
67,72.9,0.043,28,110,0
68,85.2,0.071,36,275,1
69,76.5,0.051,31,160,0
70,81.3,0.065,33,220,0
71,82.7,0.068,34,235,1
72,70.1,0.036,28,100,0
73,88.5,0.081,39,370,1
74,73.3,0.044,29,130,0
75,78.7,0.055,32,185,0
76,91.0,0.084,40,400,1
77,71.3,0.041,27,115,0
78,83.8,0.069,35,260,1
79,75.5,0.050,31,150,0
80,80.2,0.062,33,210,0
81,82.1,0.067,34,240,1
82,68.8,0.033,28,90,0
83,87.2,0.076,37,335,1
84,74.5,0.046,29,145,0
85,79.1,0.059,32,175,0
86,92.1,0.089,41,430,1
87,72.3,0.042,28,115,0
88,85.6,0.073,36,280,1
89,76.2,0.051,31,160,0
90,81.1,0.064,33,220,0
91,83.4,0.068,34,240,1
92,70.4,0.037,28,105,0
93,88.9,0.081,38,360,1
94,73.7,0.045,29,135,0
95,78.4,0.055,32,185,0
96,90.6,0.084,40,400,1
97,71.1,0.041,27,115,0
98,84.1,0.070,35,260,1
99,75.8,0.050,31,155,0
100,80.6,0.063,33,210,0
